week,Donald Trump,Jeb Bush,Rand Paul,Chris Christie,Mike Huckabee
1,4,5,1,3,2
2,1,4,5,3,2
3,2,5,4,3,1
4,1,5,3,4,2
5,2,4,5,3,1
6,1,5,2,4,3
7,5,2,4,3,1
8,5,4,3,2,1
9,5,4,2,3,1
10,5,3,3,4,2
11,2,3,5,4,1
12,3,4,5,2,1
13,5,4,2,3,1
14,4,2,3,5,1
