week,Carly Fiorina,Jim Gilmore,Lindsey Graham,Bobby Jindal,George Pataki,Rick Perry,Rick Santorum
1,1,6,5,3,6,2,4
2,1,6,2,3,7,4,5
3,1,6,4,3,6,2,5
4,1,6,3,2,4,7,5
5,1,6,2,3,7,4,5
6,1,5,4,7,3,5,2
7,1,7,4,5,6,3,2
8,2,5,3,1,6,7,4
9,1,7,4,6,5,2,3
10,1,4,2,7,6,5,3
11,1,7,2,3,4,5,6
12,2,7,1,5,6,4,3
13,2,5,1,4,3,6,7
14,1,3,2,5,5,4,7
